aid,location,name,lat,lng,year_built,education,household,parking,complex_facility,move_in_day,subway_distance,convenience_facility
0,서울특별시 강남구 개포동 개포로 311,"우성9차아파트901동,902동",37.4848024,127.0571779,1991,3,233,1,0,11687,4,6
1,서울특별시 강남구 개포동 개포로 409,현대아파트3,37.4878994,127.0609236,1986,4,198,1,0,13454,2,7
2,서울특별시 강남구 개포동 언주로 110,경남1,37.4843872,127.054267,1984,7,678,1,3,14543,8,10
3,서울특별시 강남구 개포동 언주로 110,경남2차,37.4843872,127.054267,1984,7,678,1,3,14543,8,10
4,서울특별시 강남구 논현동 강남대로146길 28,신동아(22),37.5146969,127.0227423,1997,4,644,2,7,9314,4,1
5,서울특별시 강남구 논현동 논현로111길 39,논현동한화꿈에그린,37.5067547,127.0303436,2005,4,70,1,0,6454,6,4
6,서울특별시 강남구 논현동 도산대로50길 43,쌍용,37.5196689,127.0379979,1996,4,111,0,0,9679,6,4
7,서울특별시 강남구 논현동 봉은사로11길 12,e-편한세상,37.5066597,127.0289875,2005,2,63,2,0,6363,7,3
8,서울특별시 강남구 논현동 봉은사로21길 19,한화꿈에그린2차,37.5074711,127.0307946,2006,4,46,0,0,5996,6,4
9,서울특별시 강남구 논현동 언주로116길 12,경남논현,37.5106451,127.0381352,1996,4,60,1,0,9617,9,4
10,서울특별시 강남구 논현동 언주로116길 6,동부센트레빌,37.5102504,127.0375793,2003,4,160,2,0,6944,10,4
11,서울특별시 강남구 논현동 언주로136길 21,우민,37.517802,127.0373364,2002,4,70,1,0,7469,5,3
12,서울특별시 강남구 논현동 학동로46길 38,두산위브1단지,37.5133862,127.0386984,2004,4,130,1,0,6758,7,4
13,서울특별시 강남구 대치동 남부순환로 2912,개포우성2,37.4908748,127.0573085,1984,4,450,1,0,13909,6,3
14,서울특별시 강남구 대치동 도곡로78길 22,대치삼성,37.4965682,127.0588507,2000,7,960,1,3,8187,6,4
15,서울특별시 강남구 대치동 삼성로 151,선경1차(1동-7동),37.4924163,127.0627752,1983,2,1034,1,0,14275,4,4
16,서울특별시 강남구 대치동 삼성로 151,선경2차(8동-12동),37.4924163,127.0627752,1985,2,1034,1,0,14275,4,4
17,서울특별시 강남구 대치동 삼성로51길 37,래미안대치팰리스,37.4942012,127.0584852,2015,6,1278,2,0,2655,6,1
18,서울특별시 강남구 대치동 삼성로85길 38,대치동우정에쉐르1,37.5045644,127.0541516,2004,7,80,1,0,6819,8,6
19,서울특별시 강남구 대치동 선릉로 120,개포우성1,37.5137517,127.0435828,1983,4,690,1,0,14275,5,3
20,서울특별시 강남구 대치동 선릉로 120,개포우성2,37.5137517,127.0435828,1984,4,450,1,0,13909,6,3
21,서울특별시 강남구 대치동 선릉로 222,대치아이파크,37.4953504,127.0544641,2008,7,768,2,7,5635,3,3
22,서울특별시 강남구 대치동 선릉로76길 12,대치한신휴플러스,37.5013596,127.0515885,2005,4,66,1,0,6423,9,6
23,서울특별시 강남구 대치동 영동대로 210,"쌍용대치아파트1동,2동,3동,5동,6동",37.4979951,127.0709857,1983,4,630,1,0,14550,3,4
24,서울특별시 강남구 대치동 영동대로 220,쌍용대치2,37.4994947,127.0703247,1983,4,364,1,0,14275,5,4
25,서울특별시 강남구 대치동 영동대로 230,"대치우성아파트1동,2동,3동,5동,6동,7동",37.5002033,127.0691228,1984,4,476,1,0,14244,12,4
26,서울특별시 강남구 대치동 테헤란로 428,테헤란로대우아이빌(891-6),37.5056037,127.0542018,2004,7,371,1,0,6821,6,6
27,서울특별시 강남구 도곡동 남부순환로 2803,삼성래미안,37.4897588,127.0508267,2001,3,732,2,5,7700,6,1
28,서울특별시 강남구 도곡동 남부순환로363길 30,도곡쌍용예가,37.4874478,127.0392695,1978,1,384,1,0,4262,8,1
29,서울특별시 강남구 도곡동 남부순환로365길 16,대림,37.4864808,127.0396924,1992,7,197,1,0,11353,8,6
30,서울특별시 강남구 도곡동 남부순환로379길 14,삼성,37.4885498,127.0462809,1994,7,231,0,0,11353,3,5
31,서울특별시 강남구 도곡동 논현로 209,경남,37.4779757,127.0453869,2005,4,348,1,0,8037,13,3
32,서울특별시 강남구 도곡동 도곡로14길 12,롯데캐슬모닝,37.490172,127.0367604,2003,3,60,2,0,7031,13,4
33,서울특별시 강남구 도곡동 선릉로 221,도곡렉슬,37.4935677,127.0507717,2006,3,3002,2,8,6175,4,3
34,서울특별시 강남구 도곡동 언주로 123,한신(개포),37.4869126,127.0489647,1985,4,620,2,2,13544,4,5
35,서울특별시 강남구 도곡동 언주로 203,매봉삼성,37.4891746,127.0487704,1999,1,132,1,0,10014,7,1
36,서울특별시 강남구 도곡동 언주로30길 21,아카데미스위트1,37.4873002,127.051556,2004,5,414,2,4,6571,5,1
37,서울특별시 강남구 도곡동 언주로30길 57,타워팰리스2,37.4896405,127.0545117,2003,10,813,3,2,7246,2,1
38,서울특별시 강남구 삼성동 봉은사로105길 12-7,삼성풍림2차아파트,37.5159545,127.0625077,1998,1,112,0,0,8796,5,1
39,서울특별시 강남구 삼성동 봉은사로68길 65,이안애빌,37.5085536,127.0533955,2004,1,19,2,0,6818,9,1
40,서울특별시 강남구 삼성동 봉은사로72길 33,영무예다음,37.5103596,127.0523083,2006,3,45,2,0,6053,7,3
41,서울특별시 강남구 삼성동 봉은사로74길 5,현대빌라트,37.5119922,127.0516124,2004,1,14,2,0,6641,2,1
42,서울특별시 강남구 삼성동 삼성로 629,삼성동센트럴아이파크,37.5153685,127.0510708,2018,1,416,2,0,1736,4,2
43,서울특별시 강남구 삼성동 삼성로111길 8,현대힐스테이트2단지,37.5138493,127.0515142,2008,6,926,1,0,5134,4,3
44,서울특별시 강남구 삼성동 선릉로112길 53,삼성동롯데캐슬킹덤,37.5130374,127.0478132,2005,7,118,2,0,6235,7,9
45,서울특별시 강남구 삼성동 선릉로126길 22,롯데캐슬프레미어,37.5151584,127.0451257,2007,7,713,2,5,5754,5,9
46,서울특별시 강남구 삼성동 선릉로130길 19,서광아파트,37.5171888,127.0430478,1998,1,304,1,0,8979,2,4
47,서울특별시 강남구 삼성동 선릉로130길 20,래미안삼성2차,37.5161739,127.0434589,2007,7,275,2,6,5766,3,9
48,서울특별시 강남구 삼성동 선릉로130길 33,우정에쉐르,37.5171415,127.0443222,2003,1,40,2,0,7139,4,4
49,서울특별시 강남구 삼성동 영동대로 602,미켈란107,37.5145796,127.060586,2003,5,64,2,0,6970,2,4
50,서울특별시 강남구 삼성동 영동대로112길 15,풍림(1차),37.51539,127.0617602,1998,1,252,1,0,8918,3,1
51,서울특별시 강남구 삼성동 영동대로114길 56,래미안삼성1차(103-22),37.5171071,127.0640034,2006,5,133,2,0,6090,7,5
52,서울특별시 강남구 삼성동 학동로 412,석탑아파트101동,37.5174878,127.0448098,1996,1,139,1,0,9740,4,4
53,서울특별시 강남구 삼성동 학동로 432,삼성동롯데아파트,37.5177621,127.0485461,2000,2,339,2,6,8309,3,4
54,서울특별시 강남구 삼성동 학동로64길 14,현대아파트101동,37.5167552,127.0446879,1999,5,198,1,0,8645,4,3
55,서울특별시 강남구 삼성동 학동로64길 7,삼성동한솔아파트,37.5173694,127.0455489,1998,1,263,1,0,8706,6,4
56,서울특별시 강남구 삼성동 학동로68길 29,삼성동힐스테이트 1단지,37.5162276,127.0485407,2008,6,1144,1,0,5134,5,3
57,서울특별시 강남구 삼성동 학동로68길 30,삼성동중앙하이츠빌리지,37.5159844,127.0462102,2004,7,298,2,0,6523,7,9
58,서울특별시 강남구 삼성동 학동로82길 25,블루밍하우스,37.5173736,127.0522207,2006,1,26,2,0,6149,3,1
59,서울특별시 강남구 삼성동 학동로82길 6,삼성리치빌1,37.5183548,127.0512094,2003,5,48,1,0,7216,1,4
60,서울특별시 강남구 수서동 광평로31길 27,삼성,37.4848802,127.09066,1997,4,680,2,5,9161,12,3
61,서울특별시 강남구 수서동 광평로51길 22,수서한아름,37.4891576,127.1032373,1993,3,498,2,0,10652,9,2
62,서울특별시 강남구 신사동 논현로157길 29,한양아파트,37.5218987,127.0258634,2003,3,12,0,0,7057,9,2
63,서울특별시 강남구 신사동 압구정로48길 15,압구정대원칸타빌아파트,37.5274161,127.0372219,2001,4,130,1,0,7822,5,4
64,서울특별시 강남구 신사동 압구정로50길 28,로데오현대,37.5265851,127.0373027,1998,4,139,1,0,8826,5,4
65,서울특별시 강남구 역삼동 도곡로 306,래미안그레이튼(진달래2차),37.494188,127.0478806,2010,7,464,1,0,4300,7,3
66,서울특별시 강남구 역삼동 도곡로43길 20,래미안그레이튼,37.4964269,127.0482989,2009,3,476,1,0,4748,5,3
67,서울특별시 강남구 역삼동 도곡로43길 21,래미안그레이튼(진달래2차),37.4953338,127.0472735,2010,7,464,1,0,4300,7,3
68,서울특별시 강남구 역삼동 봉은사로 312,역삼동하나빌,37.5091876,127.0412814,2002,5,77,1,0,7412,4,4
69,서울특별시 강남구 역삼동 선릉로 423,동부센트레빌,37.4996497,127.0499488,1998,5,206,1,0,9040,5,4
70,서울특별시 강남구 역삼동 선릉로69길 19,역삼래미안,37.4972705,127.0502289,2005,5,1050,1,4,6272,3,4
71,서울특별시 강남구 역삼동 선릉로69길 20,e-편한세상,37.4987189,127.0499436,2005,5,840,1,3,6217,6,4
72,서울특별시 강남구 역삼동 언주로 316,대림역삼,37.5091043,127.0400763,1997,5,129,1,0,9222,8,3
73,서울특별시 강남구 역삼동 언주로 332,역삼푸르지오,37.4976,127.0467981,2006,5,738,1,2,6204,8,4
74,서울특별시 강남구 역삼동 역삼로 306,개나리래미안,37.498551,127.0464387,2006,6,438,2,0,5966,14,8
75,서울특별시 강남구 역삼동 역삼로 314,개나리푸르지오,37.4996497,127.0499488,2006,6,332,2,2,5980,9,9
76,서울특별시 강남구 역삼동 역삼로 315-1,개나리SK뷰,37.5005166,127.0502997,2012,6,240,2,0,3781,5,3
77,서울특별시 강남구 일원동 일원로14길 25,푸른마을아파트101동~111동,37.4838213,127.0802998,1994,7,930,1,0,10560,10,4
78,서울특별시 강남구 청담동 도산대로92길 10,대우유로카운티,37.5234145,127.0499066,2004,4,196,2,0,7001,8,3
79,서울특별시 강남구 청담동 도산대로96길 39,삼성청담공원아파트,37.5222908,127.0505578,1999,4,391,0,0,8553,6,3
80,서울특별시 강남구 청담동 삼성로133길 20,청담동삼성1차(101동),37.5194234,127.0478395,1997,4,158,1,0,9464,3,3
81,서울특별시 강남구 청담동 영동대로138길 12,청담자이,37.5235476,127.0574077,2011,4,708,1,0,4082,6,1
82,서울특별시 강남구 청담동 영동대로142길 25,청구,37.5250995,127.0553009,1992,3,108,1,0,3227,10,1
83,서울특별시 강북구 미아동 도봉로68길 26,현대(190-2),37.6307527,127.0256056,1992,3,231,0,0,10987,7,4
84,서울특별시 강북구 미아동 삼양로19길 25,래미안트리베라1단지,37.6142301,127.0208782,2010,4,1247,1,0,4599,11,1
85,서울특별시 강북구 미아동 삼양로27길 19,삼성래미안트리베라2단지,37.6173606,127.0203693,2010,4,1330,1,0,4599,6,1
86,서울특별시 강북구 미아동 솔샘로 159,벽산라이브파크,37.6218981,127.0125728,2004,1,2075,1,8,7427,3,3
87,서울특별시 강북구 미아동 솔샘로 174,에스케이북한산시티,37.6179362,127.0125629,2004,3,5327,1,8,7730,3,2
88,서울특별시 강북구 미아동 오패산로30길 30,경남아너스빌(1356-0),37.6151723,127.0356169,2003,7,858,1,4,7155,10,4
89,서울특별시 강북구 수유동 삼각산로 143-1,수유벽산1차,37.6421703,127.0189389,1993,6,1454,1,7,11048,3,3
90,서울특별시 강북구 수유동 인수봉로72길 4,극동,37.6419848,127.0123693,1992,4,574,1,7,11779,7,3
91,서울특별시 강북구 수유동 한천로159길 8,래미안수유,37.6446258,127.0184295,2001,4,690,1,4,7702,5,3
92,서울특별시 강서구 가양동 양천로 497,강나루2현대,37.5648322,126.8342406,2001,3,114,1,4,7822,1,4
93,서울특별시 강서구 가양동 양천로55길 55,강서한강자이,37.5659751,126.8507521,2013,10,790,2,3,3382,8,1
94,서울특별시 강서구 가양동 허준로 76,한보구암마을,37.568067,126.8489569,1999,7,359,1,6,9556,13,5
95,서울특별시 강서구 내발산동 강서로 348,우장산힐스테이트,37.5557252,126.840809,2005,6,2198,1,8,6443,5,3
96,서울특별시 강서구 내발산동 공항대로42길 54-26,월드메르디앙,37.5565039,126.8428511,2006,6,160,2,0,6112,8,3
97,서울특별시 강서구 내발산동 우장산로 47,롯데2,37.5545628,126.8426401,2003,5,157,1,0,7031,12,3
98,서울특별시 강서구 등촌동 강서로56나길 110,부영,37.5635275,126.8434171,1994,4,712,1,0,10257,12,3
99,서울특별시 강서구 등촌동 공항대로 351-21,"진로,미주아파트",37.5590237,126.8465685,1994,4,488,2,0,10287,11,6
100,서울특별시 강서구 등촌동 공항대로39길 100,대림,37.562539,126.8465439,1995,3,680,1,4,10045,12,3
101,서울특별시 강서구 등촌동 등촌로 163,등촌동아이파크,37.5437876,126.8604505,2004,4,1653,2,4,6944,12,5
102,서울특별시 강서구 방화동 방화대로34길 88,마곡푸르지오,37.5700024,126.821748,2008,5,341,1,0,5317,9,1
103,서울특별시 강서구 염창동 공항대로 637,현대아이파크,37.5476947,126.8715167,2005,7,136,1,4,6362,5,4
104,서울특별시 강서구 염창동 공항대로65길 21,롯데캐슬,37.5507244,126.8683913,2005,2,284,2,0,6490,6,4
105,서울특별시 강서구 염창동 공항대로71길 31,극동상록수,37.5487744,126.872325,1999,2,255,1,2,8461,7,4
106,서울특별시 강서구 염창동 공항대로71길 54,태진한솔,37.5490933,126.8738254,1994,4,356,2,5,10318,9,2
107,서울특별시 강서구 염창동 공항대로75길 17,염창1차한화꿈에그린,37.5481227,126.8732458,2005,3,422,1,7,6485,6,5
108,서울특별시 강서구 염창동 공항대로75길 30,삼정그린코아,37.5477272,126.8746607,2001,3,206,1,4,7883,5,4
109,서울특별시 강서구 염창동 공항대로75길 42,대림,37.5482413,126.8754791,1999,2,122,1,3,8461,5,4
110,서울특별시 강서구 염창동 양천로 595,금호타운,37.5562617,126.8651068,1999,2,290,1,0,8796,4,5
111,서울특별시 강서구 염창동 양천로 637,삼성한마음,37.5545882,126.8682746,1995,4,330,1,4,10045,7,2
112,서울특별시 강서구 염창동 양천로 656,관음삼성,37.5540319,126.8717993,1997,3,350,1,3,9283,5,4
113,서울특별시 강서구 염창동 양천로 686-5,삼성한아름,37.5540319,126.8717993,1993,3,140,1,0,10775,6,4
114,서울특별시 강서구 염창동 양천로 731,동아3,37.549533,126.877983,1999,2,571,1,6,8796,8,2
115,서울특별시 강서구 염창동 양천로63길 38,강변한솔솔파크,37.5566947,126.8665207,2005,3,455,1,3,6364,12,3
116,서울특별시 강서구 염창동 양천로63길 51,강변월드메르디앙,37.557685,126.865401,2010,3,164,1,3,4657,8,5
117,서울특별시 강서구 염창동 양천로67가길 49,이너스내안에201동,37.5540803,126.8704094,2006,3,51,1,0,5874,12,4
118,서울특별시 강서구 염창동 양천로69길 65,성원,37.5554689,126.8721166,2001,3,297,1,5,7883,15,4
119,서울특별시 강서구 염창동 양천로71가길 22,일신건영휴먼빌,37.552049,126.8733927,2004,3,166,1,4,6615,10,2
120,서울특별시 강서구 염창동 양천로73길 5,삼성하나로,37.5516302,126.8717139,1994,3,179,1,0,10560,9,4
121,서울특별시 강서구 염창동 양천로75길 19,강변힐스테이트,37.5512482,126.8744482,2005,4,417,1,3,6595,11,2
122,서울특별시 강서구 염창동 양천로75길 22-21,이너스내안에,37.5507852,126.876267,2004,3,105,1,3,6678,10,4
123,서울특별시 강서구 화곡동 강서로 266,"우장산아이파크,이편한세상",37.549302,126.8386293,2008,3,2517,1,8,5484,5,1
124,서울특별시 강서구 화곡동 곰달래로 96,유림노르웨이숲(919-1),37.5300819,126.8434744,2004,3,225,1,0,6777,8,3
125,서울특별시 강서구 화곡동 우현로 67,강서힐스테이트,37.5474691,126.8385196,2015,9,2603,2,7,2691,7,2
126,서울특별시 강서구 화곡동 화곡로13길 107,화곡푸르지오,37.5443631,126.8315655,2002,7,2176,2,5,7366,7,4
127,서울특별시 관악구 남현동 남현길 144,흥화브라운빌,37.4711131,126.9730135,2003,3,88,1,0,7188,13,3
128,서울특별시 관악구 봉천동 관악로 285,봉천동아,37.4896844,126.9557273,2000,4,2090,1,2,8522,11,3
129,서울특별시 관악구 봉천동 관악로30길 12,봉천우성,37.4850876,126.959439,2000,3,2314,1,7,8053,11,3
130,서울특별시 관악구 봉천동 봉천로 387,두산,37.4867442,126.9453733,2000,5,2561,1,7,8095,7,6
131,서울특별시 관악구 봉천동 은천로 86,두산,37.4861221,126.9452193,2000,5,2561,1,7,8095,7,6
132,서울특별시 관악구 봉천동 은천로33길 5,관악동부센트레빌,37.4871701,126.9509001,2004,3,487,1,3,6790,15,3
133,서울특별시 관악구 신림동 관천로27길 2,우방,37.4888427,126.9188498,1999,4,201,1,5,8461,9,2
134,서울특별시 광진구 광장동 아차산로 503-23,청구,37.5424859,127.0962615,1996,3,654,1,5,9922,13,4
135,서울특별시 광진구 광장동 아차산로 522,"현대8(801동,802동)",37.5478086,127.1052825,1995,4,537,1,4,10379,9,7
136,서울특별시 광진구 광장동 아차산로 544,삼성광장2,37.5478086,127.1052825,1989,3,195,1,5,12144,6,8
137,서울특별시 광진구 광장동 아차산로 549,현대파크빌,37.5438979,127.1014612,2000,3,1170,1,4,8156,5,8
138,서울특별시 광진구 광장동 아차산로69길 19,광장현대9단지,37.5424295,127.0977197,1999,3,437,1,5,8813,10,4
139,서울특별시 광진구 광장동 아차산로70길 61,현대5,37.5396716,127.1002287,1989,3,581,1,4,12307,11,8
140,서울특별시 광진구 광장동 아차산로70길 62,현대3,37.5406764,127.098826,1990,3,1056,0,7,11718,11,4
141,서울특별시 광진구 구의동 광나루로56길 29,현대프라임,37.5373373,127.0976724,1997,5,1592,1,6,9464,7,8
142,서울특별시 광진구 구의동 광나루로56길 32,구의현대2단지,37.5381006,127.0966199,1996,5,1606,1,0,11109,10,7
143,서울특별시 광진구 구의동 구의강변로 106,삼성쉐르빌,37.5398369,127.0948552,2001,4,252,2,0,7730,12,4
144,서울특별시 광진구 구의동 구의강변로 42,구의강변우성아파트,37.5352352,127.0928572,1992,4,354,1,0,11017,8,7
145,서울특별시 광진구 구의동 구의강변로 84,세양,37.5375462,127.0937661,2002,3,130,1,0,7638,4,2
146,서울특별시 광진구 구의동 구의강변로 94,구의현대6단지,37.5384531,127.0946536,1994,5,421,1,0,10560,7,8
147,서울특별시 광진구 구의동 구의강변로3가길 39,구의현대7단지현대홈타운,37.536675,127.0910916,1997,4,273,1,0,9583,8,7
148,서울특별시 광진구 자양동 능동로3다길 13,한강아남,37.5333796,127.0649734,1995,3,47,1,0,10257,5,5
149,서울특별시 광진구 자양동 능동로4길 78,우방리버파크,37.5311568,127.0704591,2003,3,214,1,0,7031,7,1
150,서울특별시 광진구 자양동 뚝섬로 45,자양삼성,37.53362,127.0776979,1999,5,375,1,2,8662,8,7
151,서울특별시 광진구 자양동 뚝섬로24길 74,한화꿈에그린,37.5335301,127.0619019,2006,3,116,2,0,6058,9,5
152,서울특별시 광진구 자양동 뚝섬로34길 9,자양2현대,37.5341534,127.0706505,1995,3,235,1,4,10136,7,8
153,서울특별시 광진구 자양동 뚝섬로36길 75,자양강변I-Park,37.5311693,127.0696364,2006,4,83,0,0,6443,7,7
154,서울특별시 광진구 자양동 뚝섬로40길 45,자양삼성,37.5319789,127.0718745,1999,5,375,1,2,8662,8,7
155,서울특별시 광진구 자양동 아차산로 262,더샵스타시티,37.5385884,127.0726347,2007,8,1177,3,0,5784,4,8
156,서울특별시 광진구 자양동 아차산로36길 39,자양우성7,37.5363257,127.0745397,1998,8,625,1,3,9222,10,5
157,서울특별시 광진구 자양동 자양로5길 33,와이엠프라젠스파,37.5308753,127.0841313,2005,3,75,3,0,6254,14,4
158,서울특별시 광진구 자양동 자양번영로3길 65,자양삼성,37.5319789,127.0718745,1999,5,375,1,2,8662,8,7
159,서울특별시 구로구 개봉동 개봉로20길 158,현대홈타운,37.4915783,126.8615947,2001,4,964,1,3,7801,14,5
160,서울특별시 구로구 개봉동 개봉로20길 6,현대,37.4919831,126.8585354,2001,4,2412,1,6,7801,12,3
161,서울특별시 구로구 개봉동 개봉로2길 133-15,개봉동현대아이파크,37.4899112,126.8597938,2006,4,684,1,8,6043,15,5
162,서울특별시 구로구 개봉동 경인로 382,한마을,37.4888722,126.8557494,1999,3,1983,1,7,8645,8,5
163,서울특별시 구로구 개봉동 경인로38길 13,신개봉삼환,37.4966579,126.8578083,2001,4,173,1,0,7945,4,6
164,서울특별시 구로구 개봉동 경인로40길 11,영화,37.4959779,126.8598938,1998,3,372,1,4,8918,3,5
165,서울특별시 구로구 개봉동 고척로22길 84,동도센트리움(70-12),37.4981899,126.8466173,2002,6,136,2,0,7373,9,5
166,서울특별시 구로구 개봉동 남부순환로95길 16,삼호,37.4942723,126.8574704,1996,5,369,1,4,9679,4,4
167,서울특별시 구로구 개봉동 남부순환로95길 42-15,율포그레이스빌,37.4948684,126.8556689,2002,4,73,1,0,7499,7,3
168,서울특별시 구로구 개봉동 남부순환로95길 54,삼환,37.4947309,126.8543072,1995,5,783,2,4,9679,8,4
169,서울특별시 구로구 개봉동 남부순환로95길 88,두산,37.4949309,126.8526304,1997,5,561,1,4,9222,11,4
170,서울특별시 구로구 개봉동 남부순환로97길 50,상우,37.493709,126.8607222,1997,5,188,1,0,9161,3,4
171,서울특별시 구로구 고척동 경인로 343,삼환로즈빌,37.4979577,126.8580943,2004,6,600,1,7,6590,6,4
172,서울특별시 구로구 고척동 경인로 390,벽산,37.495597,126.8644826,2003,4,886,1,7,7225,9,4
173,서울특별시 구로구 고척동 중앙로1길 18-19,"우성,현대아파트",37.498705,126.8628448,1987,4,440,0,0,12844,15,6
